reporting_period,firm_name,product_group,complaints_opened,complaints_closed,closure_rate,pct_closed_3days,pct_closed_3to8weeks
2024H1,AIB Group (uk) PLC,Banking and credit cards,537.0,552.0,1.0279,0.3007,0.6975
2024H1,AIB Group (uk) PLC,Home finance,27.0,28.0,1.037,0.3214,0.6786
2024H1,AIB Group (uk) PLC,Insurance & pure protection,2.0,1.0,0.5,0.0,1.0
2024H1,AIB Group (uk) PLC,Investments,2.0,1.0,0.5,0.0,1.0
2024H1,Accord Mortgages Limited,Banking and credit cards,17.0,17.0,1.0,0.0588,0.8824
2024H1,Accord Mortgages Limited,Home finance,975.0,1022.0,1.0482,0.2867,0.5744
2024H1,Accredited Insurance (europe) LTD,Insurance & pure protection,5609.0,5831.0,1.0396,0.2307,0.5956
2024H1,Acorn Insurance & Financial Services LTD,Insurance & pure protection,633.0,686.0,1.0837,0.1953,0.8032
2024H1,Action 365 LTD,Insurance & pure protection,997.0,1127.0,1.1304,0.1109,0.638
2024H1,Adrian Flux Insurance Services Group,Insurance & pure protection,1271.0,1272.0,1.0008,0.9552,0.0448
2024H1,Advisory Insurance Brokers Limited,Insurance & pure protection,758.0,744.0,0.9815,0.3132,0.6331
2024H1,Ageas Insurance Limited,Insurance & pure protection,6073.0,6297.0,1.0369,0.2662,0.6228
2024H1,Ageas Retail Limited,Insurance & pure protection,1096.0,1083.0,0.9881,0.4561,0.5355
2024H1,Aioi Nissay Dowa Insurance UK Limited,Insurance & pure protection,2542.0,2465.0,0.9697,0.1201,0.8483
2024H1,Aj Bell Management Limited,Decumulation & pensions,763.0,772.0,1.0118,0.4417,0.5557
2024H1,Aj Bell Securities Limited,Banking and credit cards,23.0,27.0,1.1739,0.2593,0.7407
2024H1,Aj Bell Securities Limited,Decumulation & pensions,132.0,130.0,0.9848,0.2692,0.7308
2024H1,Aj Bell Securities Limited,Investments,537.0,545.0,1.0149,0.356,0.644
2024H1,Aldermore Bank PLC,Banking and credit cards,872.0,814.0,0.9335,0.5528,0.4373
2024H1,Aldermore Bank PLC,Home finance,924.0,881.0,0.9535,0.2599,0.7287
2024H1,Allianz Insurance PLC,Insurance & pure protection,3395.0,3411.0,1.0047,0.2911,0.6848
2024H1,American Express Services Europe Limited (aesel),Banking and credit cards,8716.0,8564.0,0.9826,0.1447,0.8542
2024H1,American Express Services Europe Limited (aesel),Insurance & pure protection,71.0,69.0,0.9718,0.058,0.9275
2024H1,American International Group UK Limited,Insurance & pure protection,3167.0,3147.0,0.9937,0.2371,0.7582
2024H1,Amtrust Europe Limited,Insurance & pure protection,2046.0,2243.0,1.0963,0.1734,0.6625
2024H1,Animal Friends Insurance Services LTD,Insurance & pure protection,3888.0,3657.0,0.9406,0.2316,0.7678
2024H1,Arnold Clark Automobiles Limited,Insurance & pure protection,21.0,22.0,1.0476,0.4545,0.5455
2024H1,Assurant General Insurance Limited,Insurance & pure protection,6202.0,6733.0,1.0856,0.3431,0.5696
2024H1,Astrenska Insurance Limited,Insurance & pure protection,1911.0,2387.0,1.2491,0.0855,0.7834
2024H1,Asurion Europe Limited,Insurance & pure protection,1586.0,1741.0,1.0977,0.251,0.7438
2024H1,Automobile Association Insurance Services Limited,Insurance & pure protection,11667.0,12312.0,1.0553,0.3409,0.6577
2024H1,Avantia Insurance Limited,Insurance & pure protection,1764.0,1679.0,0.9518,0.7147,0.2841
2024H1,Aviva Insurance Limited,Insurance & pure protection,48518.0,49278.0,1.0157,0.2904,0.646
2024H1,Aviva Life Services UK Limited,Decumulation & pensions,16375.0,15918.0,0.9721,0.3313,0.5298
2024H1,Aviva Life Services UK Limited,Home finance,1115.0,1065.0,0.9552,0.3859,0.4751
2024H1,Aviva Life Services UK Limited,Insurance & pure protection,3869.0,3745.0,0.968,0.3837,0.5196
2024H1,Aviva Life Services UK Limited,Investments,3032.0,3018.0,0.9954,0.3565,0.4417
2024H1,Awp Assistance UK LTD,Insurance & pure protection,2493.0,2282.0,0.9154,0.1507,0.8344
2024H1,Axa Insurance Designated Activity Company,Insurance & pure protection,2167.0,2172.0,1.0023,0.8435,0.1275
2024H1,Axa Insurance UK PLC,Insurance & pure protection,28525.0,30358.0,1.0643,0.2662,0.5126
2024H1,Axa Ppp Healthcare Limited,Insurance & pure protection,41657.0,41555.0,0.9976,0.7817,0.2095
2024H1,Bank Of Ireland (uk) PLC,Banking and credit cards,3059.0,3100.0,1.0134,0.4342,0.4835
2024H1,Bank Of Ireland (uk) PLC,Home finance,794.0,1155.0,1.4547,0.1593,0.2918
2024H1,Bank Of Ireland (uk) PLC,Insurance & pure protection,35.0,32.0,0.9143,,1.0
2024H1,Bank Of Ireland (uk) PLC,Investments,1.0,1.0,1.0,1.0,
2024H1,Bank Of Scotland PLC,Banking and credit cards,63896.0,64791.0,1.014,0.6118,0.3451
2024H1,Bank Of Scotland PLC,Decumulation & pensions,9.0,10.0,1.1111,0.1,0.7
2024H1,Bank Of Scotland PLC,Home finance,14104.0,14010.0,0.9933,0.4274,0.5374
2024H1,Bank Of Scotland PLC,Insurance & pure protection,291.0,280.0,0.9622,0.2464,0.7107
2024H1,Bank Of Scotland PLC,Investments,57.0,53.0,0.9298,0.0755,0.8302
2024H1,Barclays Bank PLC,Banking and credit cards,9600.0,9568.0,0.9967,0.7183,0.2594
2024H1,Barclays Bank PLC,Decumulation & pensions,32.0,40.0,1.25,0.275,0.625
2024H1,Barclays Bank PLC,Home finance,2.0,2.0,1.0,,1.0
2024H1,Barclays Bank PLC,Investments,1206.0,1454.0,1.2056,0.3088,0.478
2024H1,Barclays Bank UK PLC,Banking and credit cards,71096.0,75713.0,1.0649,0.605,0.3424
2024H1,Barclays Bank UK PLC,Decumulation & pensions,11.0,16.0,1.4545,0.25,0.25
2024H1,Barclays Bank UK PLC,Home finance,8557.0,9099.0,1.0633,0.4951,0.4313
2024H1,Barclays Bank UK PLC,Insurance & pure protection,245.0,282.0,1.151,0.4007,0.4255
2024H1,Barclays Bank UK PLC,Investments,46.0,74.0,1.6087,0.0405,0.3649
