reporting_period,firm_name,product_group,complaints_opened,denominator,complaint_rate_per_1k,denominator_unit
2024H1,AIB Group (uk) PLC,Banking and credit cards,537.0,1.01,531.6832,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Accord Mortgages Limited,Banking and credit cards,17.0,2.0,8.5,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Accord Mortgages Limited,Home finance,975.0,4.73,206.1311,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Accredited Insurance (europe) LTD,Insurance & pure protection,5609.0,2.44,2298.7705,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Acm Ulr Limited,Insurance & pure protection,1247.0,15.13,82.419,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Acorn Insurance & Financial Services LTD,Insurance & pure protection,633.0,1.51,419.2053,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Action 365 LTD,Insurance & pure protection,997.0,20.4,48.8725,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Adrian Flux Insurance Services Group,Insurance & pure protection,1271.0,1.44,882.6389,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Affinity Insurance Solutions Limited,Insurance & pure protection,1121.0,3.14,357.0064,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Ageas Insurance Limited,Insurance & pure protection,6073.0,1.31,4635.8779,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Ageas Retail Limited,Insurance & pure protection,1096.0,1.39,788.4892,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Aig Life Limited,Insurance & pure protection,633.0,0.49,1291.8367,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Aioi Nissay Dowa Insurance UK Limited,Insurance & pure protection,2542.0,6.62,383.9879,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Aj Bell Management Limited,Decumulation & pensions,763.0,3.4,224.4118,thousands of relevant accounts/policies (FCA Context - Provision)
2024H1,Aj Bell Securities Limited,Banking and credit cards,23.0,7.26,3.168,thousands of relevant accounts/policies (FCA Context - Provision)
