firm_name,complaints_opened,uphold_rate_pct,cost_handling,cost_fos,cost_redress,cost_total,cost_per_compl
Lloyds Bank PLC,90837.0,68.4,18167400.0,4723524.0,18653378.0,41544302.0,457.0
National Westminster Bank Public Limited Company,97511.0,57.2,19502200.0,5070572.0,16738738.0,41311510.0,424.0
Barclays Bank UK PLC,85996.0,60.6,17199200.0,4471792.0,15646972.0,37317964.0,434.0
Bank Of Scotland PLC,79508.0,68.1,15901600.0,4134416.0,16233943.0,36269959.0,456.0
HSBC UK Bank PLC,81503.0,58.5,16300600.0,4238156.0,14298886.0,34837642.0,427.0
Nationwide Building Society,69388.0,52.4,13877600.0,3608176.0,10903630.0,28389406.0,409.0
Eui Limited,60221.0,63.9,12044200.0,3131492.0,11537139.0,26712831.0,444.0
British Gas Services Limited,49016.0,93.1,9803200.0,2548832.0,13685757.0,26037789.0,531.0
Santander UK PLC,64741.0,46.3,12948200.0,3366532.0,8994467.0,25309199.0,391.0
Domestic & General Insurance PLC,56025.0,52.2,11205000.0,2913300.0,8776876.0,22895176.0,409.0
Aviva Insurance Limited,49795.0,56.3,9959000.0,2589340.0,8405894.0,20954234.0,421.0
Monzo Bank LTD,49570.0,30.0,9914000.0,2577640.0,4465761.0,16957401.0,342.0
U K Insurance Limited,37282.0,67.4,7456400.0,1938664.0,7542894.0,16937958.0,454.0
Clydesdale Bank PLC,34185.0,64.1,6837000.0,1777620.0,6573776.0,15188396.0,444.0
TSB Bank PLC,33705.0,52.4,6741000.0,1752660.0,5296404.0,13790064.0,409.0
Bupa Insurance Services Limited,28091.0,57.1,5618200.0,1460732.0,4814516.0,11893448.0,423.0
Aviva Life Services UK Limited,26131.0,66.9,5226200.0,1358812.0,5245276.0,11830288.0,453.0
Capital One (europe) PLC,30593.0,34.3,6118600.0,1590836.0,3146184.0,10855620.0,355.0
The Royal Bank Of Scotland PLC,19884.0,58.6,3976800.0,1033968.0,3492625.0,8503393.0,428.0
Phoenix Life Limited,17086.0,77.7,3417200.0,888472.0,3980696.0,8286368.0,485.0
Axa Ppp Healthcare Limited,19555.0,54.6,3911000.0,1016860.0,3203109.0,8130969.0,416.0
Hastings Insurance Services Limited,19781.0,52.0,3956200.0,1028612.0,3088210.0,8073022.0,408.0
Axa Insurance UK PLC,16052.0,58.7,3210400.0,834704.0,2827239.0,6872343.0,428.0
Starling Bank Limited,17323.0,41.0,3464600.0,900796.0,2130209.0,6495605.0,375.0
Vanquis Bank Limited,18304.0,29.9,3660800.0,951808.0,1644065.0,6256673.0,342.0
Esure Insurance Limited,11352.0,70.2,2270400.0,590304.0,2392093.0,5252797.0,463.0
American Express Services Europe Limited,14814.0,33.1,2962800.0,770328.0,1470586.0,5203714.0,351.0
Liverpool Victoria Insurance Company Limited,12025.0,55.9,2405000.0,625300.0,2015150.0,5045450.0,420.0
The Prudential Assurance Company Limited,9892.0,85.8,1978400.0,514384.0,2546498.0,5039282.0,509.0
Metro Bank PLC,11244.0,51.1,2248800.0,584688.0,1724043.0,4557531.0,405.0
Barclays Bank PLC,10416.0,60.9,2083200.0,541632.0,1903316.0,4528148.0,435.0
Bisl Limited,11577.0,45.7,2315400.0,602004.0,1587901.0,4505305.0,389.0
The Co-operative Bank P.l.c.,9622.0,64.8,1924400.0,500344.0,1870517.0,4295261.0,446.0
Vitality Corporate Services Limited,10197.0,50.8,2039400.0,530244.0,1553105.0,4122749.0,404.0
Creation Consumer Finance Limited,10537.0,41.1,2107400.0,547924.0,1299844.0,3955168.0,375.0
Scottish Widows Limited,7762.0,83.3,1552400.0,403624.0,1940190.0,3896214.0,502.0
Inter Partner Assistance Sa,8125.0,74.1,1625000.0,422500.0,1806188.0,3853688.0,474.0
"Royal London Mutual Insurance Society, Limited (the)",8414.0,63.0,1682800.0,437528.0,1589994.0,3710322.0,441.0
MBNA Limited,8796.0,53.9,1759200.0,457392.0,1423105.0,3639697.0,414.0
First Central Insurance Management Limited,8797.0,42.4,1759400.0,457444.0,1117923.0,3334767.0,379.0
J.p. Morgan Europe Limited,8343.0,47.5,1668600.0,433836.0,1189879.0,3292315.0,395.0
Atlanta Insurance Intermediaries Limited,8517.0,43.6,1703400.0,442884.0,1115301.0,3261585.0,383.0
Rac Financial Services Limited,9491.0,26.4,1898200.0,493532.0,752541.0,3144273.0,331.0
Saga Services Limited,7519.0,52.4,1503800.0,390988.0,1182664.0,3077452.0,409.0
Hargreaves Lansdown Asset Management Limited,7021.0,47.7,1404200.0,365092.0,1004073.0,2773365.0,395.0
Lloyds Bank General Insurance Limited,5683.0,78.2,1136600.0,295516.0,1333914.0,2766030.0,487.0
Assurant General Insurance Limited,6731.0,46.1,1346200.0,350012.0,930292.0,2626504.0,390.0
Automobile Association Insurance Services Limited,6657.0,41.7,1331400.0,346164.0,833190.0,2510754.0,377.0
Scottish Equitable PLC,5420.0,66.3,1084000.0,281840.0,1077388.0,2443228.0,451.0
Intact Insurance UK Limited,5765.0,56.5,1153000.0,299780.0,976476.0,2429256.0,421.0
Zopa Bank Limited,6391.0,41.9,1278200.0,332332.0,802774.0,2413306.0,378.0
Marks And Spencer Financial Services PLC,5264.0,68.4,1052800.0,273728.0,1080015.0,2406543.0,457.0
The National Farmers' Union Mutual Insurance Society Limited,5076.0,62.4,1015200.0,263952.0,949618.0,2228770.0,439.0
Reassure Limited,4463.0,79.6,892600.0,232076.0,1066300.0,2190976.0,491.0
Skipton Building Society,4641.0,72.9,928200.0,241332.0,1014291.0,2183823.0,471.0
Society Of Lloyd's,5669.0,39.8,1133800.0,294788.0,676538.0,2105126.0,371.0
Ergo Travel Insurance Services LTD,4524.0,62.4,904800.0,235248.0,846757.0,1986805.0,439.0
