reporting_period,firm_name,total_complaints,period_order,complaint_share_pct,prev_period_val,abs_change,pct_change
2024H1,AIB Group (uk) PLC,568.0,0,0.03,,,
2025H1,Abrdn Fund Managers Limited,800.0,2,0.05,,,
2024H1,Accord Mortgages Limited,992.0,0,0.06,,,
2024H2,Accord Mortgages Limited,892.0,1,0.05,992.0,-100.0,-10.08
2025H1,Accord Mortgages Limited,918.0,2,0.05,892.0,26.0,2.91
2025H2,Accord Mortgages Limited,950.0,3,0.06,918.0,32.0,3.49
2024H1,Accredited Insurance (europe) LTD,5609.0,0,0.32,,,
2024H2,Accredited Insurance (europe) LTD,4219.0,1,0.25,5609.0,-1390.0,-24.78
2025H1,Accredited Insurance (europe) LTD,4649.0,2,0.27,4219.0,430.0,10.19
2025H2,Accredited Insurance (europe) LTD,4337.0,3,0.26,4649.0,-312.0,-6.71
2024H1,Acm Ulr Limited,1247.0,0,0.07,,,
2024H2,Acm Ulr Limited,865.0,1,0.05,1247.0,-382.0,-30.63
2025H1,Acm Ulr Limited,723.0,2,0.04,865.0,-142.0,-16.42
2025H2,Acm Ulr Limited,636.0,3,0.04,723.0,-87.0,-12.03
2024H1,Acorn Insurance & Financial Services LTD,633.0,0,0.04,,,
2024H2,Acorn Insurance & Financial Services LTD,823.0,1,0.05,633.0,190.0,30.02
2025H1,Acorn Insurance & Financial Services LTD,805.0,2,0.05,823.0,-18.0,-2.19
2025H2,Acorn Insurance And Financial Services Limited,766.0,3,0.05,,,
2025H1,Acromas Insurance Company Limited,2446.0,2,0.14,,,
2025H2,Acromas Insurance Company Limited,1840.0,3,0.11,2446.0,-606.0,-24.78
2024H1,Action 365 LTD,997.0,0,0.06,,,
2024H2,Action 365 LTD,966.0,1,0.06,997.0,-31.0,-3.11
2025H1,Action 365 LTD,789.0,2,0.05,966.0,-177.0,-18.32
2025H1,Admiral Financial Services Limited,9.0,2,0.0,,,
2025H2,Admiral Financial Services Limited,16.0,3,0.0,9.0,7.0,77.78
2024H1,Adrian Flux Insurance Services Group,1271.0,0,0.07,,,
2024H2,Adrian Flux Insurance Services Group,1665.0,1,0.1,1271.0,394.0,31.0
2025H1,Adrian Flux Insurance Services Group,1554.0,2,0.09,1665.0,-111.0,-6.67
2025H2,Adrian Flux Insurance Services Group,2518.0,3,0.15,1554.0,964.0,62.03
2024H1,Advisory Insurance Brokers Limited,758.0,0,0.04,,,
2024H2,Advisory Insurance Brokers Limited,816.0,1,0.05,758.0,58.0,7.65
2025H1,Advisory Insurance Brokers Limited,708.0,2,0.04,816.0,-108.0,-13.24
2025H2,Advisory Insurance Brokers Limited,651.0,3,0.04,708.0,-57.0,-8.05
2024H1,Affinity Insurance Solutions Limited,1121.0,0,0.06,,,
2024H2,Affinity Insurance Solutions Limited,806.0,1,0.05,1121.0,-315.0,-28.1
2025H1,Affinity Insurance Solutions Limited,663.0,2,0.04,806.0,-143.0,-17.74
2024H1,Ageas Insurance Limited,6073.0,0,0.34,,,
2024H2,Ageas Insurance Limited,5058.0,1,0.3,6073.0,-1015.0,-16.71
2025H1,Ageas Insurance Limited,5090.0,2,0.29,5058.0,32.0,0.63
2025H2,Ageas Insurance Limited,4403.0,3,0.27,5090.0,-687.0,-13.5
2024H1,Ageas Retail Limited,1096.0,0,0.06,,,
2024H2,Ageas Retail Limited,993.0,1,0.06,1096.0,-103.0,-9.4
2025H1,Ageas Retail Limited,912.0,2,0.05,993.0,-81.0,-8.16
2025H2,Ageas Retail Limited,909.0,3,0.06,912.0,-3.0,-0.33
2024H1,Aig Life Limited,633.0,0,0.04,,,
2024H1,Aioi Nissay Dowa Insurance UK Limited,2542.0,0,0.14,,,
