reporting_period,product_group,total_complaints,complaint_share_pct,prev_period_val,abs_change,pct_change
2024H1,Banking and credit cards,841994.0,47.46,,,
2024H2,Banking and credit cards,829764.0,49.04,841994.0,-12230.0,-1.45
2025H1,Banking and credit cards,888574.0,51.06,829764.0,58810.0,7.09
2025H2,Banking and credit cards,844807.0,51.12,888574.0,-43767.0,-4.93
2024H1,Decumulation & pensions,85269.0,4.81,,,
2024H2,Decumulation & pensions,81104.0,4.79,85269.0,-4165.0,-4.88
2025H1,Decumulation & pensions,85424.0,4.91,81104.0,4320.0,5.33
2025H2,Decumulation & pensions,80272.0,4.86,85424.0,-5152.0,-6.03
2024H1,Home finance,83750.0,4.72,,,
2024H2,Home finance,74499.0,4.4,83750.0,-9251.0,-11.05
2025H1,Home finance,69356.0,3.99,74499.0,-5143.0,-6.9
2025H2,Home finance,66543.0,4.03,69356.0,-2813.0,-4.06
2024H1,Insurance & pure protection,714244.0,40.26,,,
2024H2,Insurance & pure protection,668309.0,39.5,714244.0,-45935.0,-6.43
2025H1,Insurance & pure protection,653535.0,37.55,668309.0,-14774.0,-2.21
2025H2,Insurance & pure protection,620885.0,37.57,653535.0,-32650.0,-5.0
2024H1,Investments,48882.0,2.76,,,
2024H2,Investments,38390.0,2.27,48882.0,-10492.0,-21.46
2025H1,Investments,43333.0,2.49,38390.0,4943.0,12.88
2025H2,Investments,39931.0,2.42,43333.0,-3402.0,-7.85
