reporting_period,firm_name,complaints_opened,weighted_upheld,uphold_rate_weighted,uphold_rate_weighted_pct
2024H1,AIB Group (uk) PLC,568.0,329.6856,0.5804,58.04
2024H1,Accord Mortgages Limited,992.0,640.6803000000001,0.6458,64.58
2024H1,Accredited Insurance (europe) LTD,5609.0,2068.0383,0.3687,36.87
2024H1,Acm Ulr Limited,1247.0,588.584,0.472,47.2
2024H1,Acorn Insurance & Financial Services LTD,633.0,353.4039,0.5583,55.83
2024H1,Action 365 LTD,997.0,352.0407,0.3531,35.31
2024H1,Adrian Flux Insurance Services Group,1271.0,282.7975,0.2225,22.25
2024H1,Advisory Insurance Brokers Limited,758.0,462.53159999999997,0.6102,61.02
2024H1,Affinity Insurance Solutions Limited,1121.0,256.709,0.229,22.9
2024H1,Ageas Insurance Limited,6073.0,2830.6253,0.4661,46.61
2024H1,Ageas Retail Limited,1096.0,525.2032,0.4792,47.92
2024H1,Aig Life Limited,633.0,270.5442,0.4274,42.74
2024H1,Aioi Nissay Dowa Insurance UK Limited,2542.0,1167.2864,0.4592,45.92
2024H1,Aj Bell Management Limited,763.0,361.73830000000004,0.4741,47.41
2024H1,Aj Bell Securities Limited,692.0,354.7115,0.5126,51.26
2024H1,Aldermore Bank PLC,1796.0,1153.158,0.6421,64.21
2024H1,Allianz Insurance PLC,3395.0,2081.1349999999998,0.613,61.3
2024H1,American Express Services Europe Limited (aesel),8787.0,2968.8141,0.3379,33.79
2024H1,American International Group UK Limited,3167.0,1709.8633000000002,0.5399,53.99
2024H1,Amtrust Europe Limited,2046.0,820.0368,0.4008,40.08
2024H1,Animal Friends Insurance Services LTD,3888.0,1223.5536,0.3147,31.47
2024H1,Arnold Clark Automobiles Limited,21.0,1.9088999999999998,0.0909,9.09
2024H1,Arthur J. Gallagher Insurance Brokers Limited,1082.0,622.3664,0.5752,57.52
2024H1,Assurant General Insurance Limited,6202.0,2831.8332,0.4566,45.66
2024H1,Astrenska Insurance Limited,1911.0,1105.7046,0.5786,57.86
2024H1,Asurion Europe Limited,1586.0,350.6646,0.2211,22.11
2024H1,Atlanta Insurance Intermediaries Limited,12140.0,5628.104,0.4636,46.36
2024H1,Automobile Association Insurance Services Limited,11667.0,3721.773,0.319,31.9
2024H1,Avantia Insurance Limited,1764.0,642.978,0.3645,36.45
2024H1,Aviva Health UK Limited,1606.0,782.6038,0.4873,48.73
2024H1,Aviva Insurance Limited,48518.0,29741.534,0.613,61.3
2024H1,Aviva Life Services UK Limited,24391.0,15053.2299,0.6172,61.72
2024H1,Awp Assistance UK LTD,2493.0,2076.669,0.833,83.3
2024H1,Awp P&c S.a.,1698.0,690.4068,0.4066,40.66
2024H1,Axa Insurance Designated Activity Company,2167.0,1178.1979,0.5437,54.37
2024H1,Axa Insurance UK PLC,28525.0,16918.177499999998,0.5931,59.31
2024H1,Axa Ppp Healthcare Limited,41657.0,19991.1943,0.4799,47.99
2024H1,Bank Of Ireland (uk) PLC,3853.0,1647.6927,0.4276,42.76
2024H1,Bank Of Scotland PLC,78357.0,48605.872,0.6203,62.03
2024H1,Barclays Bank PLC,10838.0,7386.1682,0.6815,68.15
2024H1,Barclays Bank UK PLC,79955.0,53229.08149999999,0.6657,66.57
2024H1,Bisl Limited,11260.0,4612.0960000000005,0.4096,40.96
2024H1,Black Horse Limited,412.0,0.0,0.0,0.0
2024H1,Brightside Insurance Services Limited,723.0,282.8376,0.3912,39.12
2024H1,British Gas Services Limited,55282.0,53269.7352,0.9636,96.36
2024H1,Bspoke Underwriting LTD,526.0,281.1996,0.5346,53.46
2024H1,Bupa Insurance Services Limited,33137.0,18765.4831,0.5663,56.63
2024H1,Cabot Credit Management Group Limited,24.0,9.2304,0.3846,38.46
2024H1,Call Assist LTD,852.0,349.5756,0.4103,41.03
2024H1,Canada Life Limited,1107.0,968.6321,0.875,87.5
2024H1,Capital One (europe) PLC,24819.0,8629.679100000001,0.3477,34.77
2024H1,Car Care Plan Limited,978.0,272.4708,0.2786,27.86
2024H1,Carfinance247 Limited,146.0,57.363400000000006,0.3929,39.29
2024H1,Carole Nash Insurance Consultants LTD,4413.0,2077.1991,0.4707,47.07
2024H1,Charter Court Financial Services Limited,2192.0,926.0612000000001,0.4225,42.25
2024H1,Chetwood Financial Limited,354.0,67.82639999999999,0.1916,19.16
2024H1,Chubb European Group Se,4575.0,3002.1150000000002,0.6562,65.62
2024H1,Citibank UK Limited,1842.0,210.1182,0.1141,11.41
2024H1,Clearbank Limited,3239.0,1679.7453999999998,0.5186,51.86
2024H1,Close Brothers Limited,348.0,207.81199999999998,0.5972,59.72
2024H1,Clydesdale Bank PLC,34377.0,24470.3822,0.7118,71.18
2024H1,Cofunds Limited,1071.0,658.0468,0.6144,61.44
2024H1,Columbia Threadneedle Management Limited,637.0,208.0442,0.3266,32.66
2024H1,Compare The Market Limited,505.0,45.9045,0.0909,9.09
2024H1,Complete Cover Group LTD,900.0,658.53,0.7317,73.17
2024H1,Connells Limited,572.0,227.9302,0.3985,39.85
2024H1,Corgi Homeplan LTD,1956.0,1444.1147999999998,0.7383,73.83
2024H1,Coutts & Company,1589.0,854.1808,0.5376,53.76
