reporting_period,product_group,complaints_opened,weighted_upheld,uphold_rate_weighted,uphold_rate_weighted_pct
2024H1,Banking and credit cards,841994.0,466322.7637,0.5538,55.38
2024H1,Decumulation & pensions,85269.0,55958.3136,0.6563,65.63
2024H1,Home finance,83748.0,47534.645,0.5676,56.76
2024H1,Insurance & pure protection,706278.0,411765.0097,0.583,58.3
2024H1,Investments,48881.0,28529.6398,0.5837,58.37
2024H2,Banking and credit cards,829764.0,459609.8108,0.5539,55.39
2024H2,Decumulation & pensions,81103.0,56903.7746,0.7016,70.16
2024H2,Home finance,74499.0,42222.4604,0.5668,56.68
2024H2,Insurance & pure protection,659722.0,386541.2753,0.5859,58.59
2024H2,Investments,38389.0,23835.8894,0.6209,62.09
2025H1,Banking and credit cards,888574.0,517405.4731,0.5823,58.23
2025H1,Decumulation & pensions,85424.0,58815.9159,0.6885,68.85
2025H1,Home finance,69340.0,39255.8293,0.5661,56.61
2025H1,Insurance & pure protection,652357.0,376715.0306,0.5775,57.75
2025H1,Investments,43333.0,24898.1399,0.5746,57.46
2025H2,Banking and credit cards,844807.0,459336.68,0.5437,54.37
2025H2,Decumulation & pensions,80270.0,56209.3238,0.7003,70.03
2025H2,Home finance,66532.0,37584.4036,0.5649,56.49
2025H2,Insurance & pure protection,620855.0,353949.67840000003,0.5701,57.01
2025H2,Investments,39928.0,21685.113999999998,0.5431,54.31
