reporting_period,firm_name,total_complaints,period_order,complaint_share_pct
2024H1,AIB Group (uk) PLC,568.0,0,0.03
2024H1,Accord Mortgages Limited,992.0,0,0.06
2024H1,Accredited Insurance (europe) LTD,5609.0,0,0.32
2024H1,Acm Ulr Limited,1247.0,0,0.07
2024H1,Acorn Insurance & Financial Services LTD,633.0,0,0.04
2024H1,Action 365 LTD,997.0,0,0.06
2024H1,Adrian Flux Insurance Services Group,1271.0,0,0.07
2024H1,Advisory Insurance Brokers Limited,758.0,0,0.04
2024H1,Affinity Insurance Solutions Limited,1121.0,0,0.06
2024H1,Ageas Insurance Limited,6073.0,0,0.34
2024H1,Ageas Retail Limited,1096.0,0,0.06
2024H1,Aig Life Limited,633.0,0,0.04
2024H1,Aioi Nissay Dowa Insurance UK Limited,2542.0,0,0.14
2024H1,Aj Bell Management Limited,763.0,0,0.04
2024H1,Aj Bell Securities Limited,692.0,0,0.04
2024H1,Aldermore Bank PLC,1796.0,0,0.1
2024H1,Allianz Insurance PLC,3395.0,0,0.19
2024H1,American Express Services Europe Limited (aesel),8787.0,0,0.5
2024H1,American International Group UK Limited,3167.0,0,0.18
2024H1,Amtrust Europe Limited,2046.0,0,0.12
2024H1,Animal Friends Insurance Services LTD,3888.0,0,0.22
2024H1,Arnold Clark Automobiles Limited,21.0,0,0.0
2024H1,Arthur J. Gallagher Insurance Brokers Limited,1082.0,0,0.06
2024H1,Assurant General Insurance Limited,6202.0,0,0.35
2024H1,Astrenska Insurance Limited,1911.0,0,0.11
2024H1,Asurion Europe Limited,1586.0,0,0.09
2024H1,Atlanta Insurance Intermediaries Limited,12140.0,0,0.68
2024H1,Automobile Association Insurance Services Limited,11667.0,0,0.66
2024H1,Avantia Insurance Limited,1764.0,0,0.1
2024H1,Aviva Health UK Limited,1606.0,0,0.09
2024H1,Aviva Insurance Limited,48518.0,0,2.73
2024H1,Aviva Life Services UK Limited,24391.0,0,1.37
2024H1,Awp Assistance UK LTD,2493.0,0,0.14
2024H1,Awp P&c S.a.,1698.0,0,0.1
2024H1,Axa Insurance Designated Activity Company,2167.0,0,0.12
2024H1,Axa Insurance UK PLC,28525.0,0,1.61
2024H1,Axa Ppp Healthcare Limited,41657.0,0,2.35
2024H1,Bank Of Ireland (uk) PLC,3889.0,0,0.22
2024H1,Bank Of Scotland PLC,78357.0,0,4.42
2024H1,Barclays Bank PLC,10840.0,0,0.61
2024H1,Barclays Bank UK PLC,79955.0,0,4.51
2024H1,Bisl Limited,11260.0,0,0.63
2024H1,Black Horse Limited,412.0,0,0.02
2024H1,Brightside Insurance Services Limited,723.0,0,0.04
2024H1,British Gas Services Limited,55282.0,0,3.12
2024H1,Bspoke Underwriting LTD,526.0,0,0.03
2024H1,Bupa Insurance Services Limited,33137.0,0,1.87
2024H1,Cabot Credit Management Group Limited,24.0,0,0.0
2024H1,Call Assist LTD,852.0,0,0.05
2024H1,Canada Life Limited,1107.0,0,0.06
2024H1,Capital One (europe) PLC,24819.0,0,1.4
2024H1,Car Care Plan Limited,978.0,0,0.06
2024H1,Carfinance247 Limited,146.0,0,0.01
2024H1,Carole Nash Insurance Consultants LTD,4413.0,0,0.25
2024H1,Charter Court Financial Services Limited,2192.0,0,0.12
2024H1,Chetwood Financial Limited,354.0,0,0.02
2024H1,Chubb European Group Se,4575.0,0,0.26
2024H1,Citibank UK Limited,1842.0,0,0.1
2024H1,Clearbank Limited,3239.0,0,0.18
2024H1,Close Brothers Limited,348.0,0,0.02
2024H1,Clydesdale Bank PLC,34377.0,0,1.94
2024H1,Cofunds Limited,1071.0,0,0.06
2024H1,Columbia Threadneedle Management Limited,637.0,0,0.04
2024H1,Compare The Market Limited,505.0,0,0.03
2024H1,Complete Cover Group LTD,900.0,0,0.05
2024H1,Connells Limited,572.0,0,0.03
2024H1,Corgi Homeplan LTD,1956.0,0,0.11
2024H1,Coutts & Company,1589.0,0,0.09
2024H1,Covea Insurance PLC,2243.0,0,0.13
2024H1,Coventry Building Society,3964.0,0,0.22
2024H1,Creation Consumer Finance LTD,6333.0,0,0.36
2024H1,Creation Financial Services Limited,667.0,0,0.04
2024H1,Cynergy Bank PLC,704.0,0,0.04
2024H1,Das Legal Expenses Insurance Company Limited,1947.0,0,0.11
2024H1,Devitt Insurance Services LTD,486.0,0,0.03
2024H1,Domestic & General Insurance PLC,48821.0,0,2.75
2024H1,Elavon Financial Services Designated Activity Company,2221.0,0,0.13
2024H1,Elderbridge Limited,974.0,0,0.05
2024H1,Embark Investment Services Limited,1101.0,0,0.06
2024H1,Equiniti Financial Services Limited,3255.0,0,0.18
2024H1,Ergo Travel Insurance Services LTD,2921.0,0,0.16
2024H1,Esure Insurance Limited,20386.0,0,1.15
2024H1,Eui Limited,66719.0,0,3.76
2024H1,Exeter Friendly Society Limited,509.0,0,0.03
2024H1,Experian Limited,3.0,0,0.0
2024H1,Extracover Limited,561.0,0,0.03
2024H1,Family Equity Plan Limited,1207.0,0,0.07
2024H1,Fce Bank PLC,94.0,0,0.01
2024H1,Financial Administration Services Limited,2347.0,0,0.13
2024H1,First Central Insurance Management Limited,10584.0,0,0.6
2024H1,Firstrand Bank Limited,31.0,0,0.0
2024H1,Fish Administration Limited,530.0,0,0.03
2024H1,Forester Life Limited,712.0,0,0.04
2024H1,Fortegra Europe Insurance Company LTD,4001.0,0,0.23
2024H1,Frasers Group Financial Services Limited,1.0,0,0.0
2024H1,Funding Circle LTD,36.0,0,0.0
2024H1,HSBC UK Bank PLC,109178.0,0,6.15
2024H1,Halifax Share Dealing Limited,706.0,0,0.04
2024H1,Hargreaves Lansdown Asset Management Limited,5347.0,0,0.3
2024H1,Hastings Insurance Services Limited,18217.0,0,1.03
2024H1,Hbos Investment Fund Managers Limited,754.0,0,0.04
2024H1,Helvetia Global Solutions LTD,1363.0,0,0.08
2024H1,Hiscox Insurance Company Limited,630.0,0,0.04
2024H1,Home Retail Group Card Services Limited,4398.0,0,0.25
2024H1,Homeserve Membership Limited,2864.0,0,0.16
2024H1,Hood Travel Limited,566.0,0,0.03
2024H1,Howserv Limited,2045.0,0,0.12
2024H1,Hyundai Capital UK Limited,0.0,0,0.0
2024H1,I Go 4 Ltd.,1208.0,0,0.07
2024H1,Ikano Bank Ab (publ),1732.0,0,0.1
2024H1,Insurance Factory LTD,3805.0,0,0.21
2024H1,Integra Insurance Solutions Limited,535.0,0,0.03
2024H1,Inter Partner Assistance Sa,7928.0,0,0.45
2024H1,Interactive Brokers (u.k.) Limited,673.0,0,0.04
2024H1,Interactive Investor Services Limited,2590.0,0,0.15
2024H1,Invesco Fund Managers Limited,650.0,0,0.04
2024H1,Investec Bank PLC,506.0,0,0.03
2024H1,Investment Funds Direct Limited,606.0,0,0.03
2024H1,J D Williams & Company Limited,10.0,0,0.0
2024H1,J.p. Morgan Europe Limited,12121.0,0,0.68
2024H1,James Hay Administration Company LTD,734.0,0,0.04
2024H1,Janus Henderson Fund Management UK Limited,792.0,0,0.04
2024H1,Kensington Mortgage Company Limited,1055.0,0,0.06
2024H1,Kroo Bank LTD,1083.0,0,0.06
2024H1,Landmark Mortgages Limited,782.0,0,0.04
2024H1,Leaseplan UK Limited,3.0,0,0.0
2024H1,Leeds Building Society,3305.0,0,0.19
2024H1,Legal & General (portfolio Management Services) LTD,571.0,0,0.03
2024H1,Legal And General Assurance Society Limited,4816.0,0,0.27
2024H1,Lenvi Servicing Limited,1380.0,0,0.08
2024H1,Liverpool Victoria Financial Services Limited,2345.0,0,0.13
2024H1,Liverpool Victoria Insurance Company Limited,10678.0,0,0.6
2024H1,Lloyds Bank General Insurance Limited,6428.0,0,0.36
2024H1,Lloyds Bank PLC,72949.0,0,4.11
2024H1,London And Country Mortgages LTD,615.0,0,0.03
2024H1,M & G Securities Limited,852.0,0,0.05
2024H1,MBNA Limited,10690.0,0,0.6
2024H1,Manypets LTD,6653.0,0,0.37
2024H1,Marks & Spencer Financial Services PLC,9479.0,0,0.53
2024H1,Marshmallow Financial Services LTD,2918.0,0,0.16
2024H1,Metlife Europe D.a.c.,501.0,0,0.03
2024H1,Metro Bank PLC,9246.0,0,0.52
2024H1,Monzo Bank LTD,42089.0,0,2.37
2024H1,Moorcroft Debt Recovery Limited,551.0,0,0.03
2024H1,Motonovo Finance Limited,41.0,0,0.0
2024H1,Munich Re Digital Partners LTD,1000.0,0,0.06
2024H1,National Westminster Bank PLC,87800.0,0,4.95
2024H1,Nationwide Building Society,61778.0,0,3.48
2024H1,Newcastle Building Society,543.0,0,0.03
2024H1,Northern Bank Limited,1687.0,0,0.1
2024H1,Nutmeg Saving And Investment Limited,659.0,0,0.04
2024H1,One Call Insurance Services Limited,3202.0,0,0.18
2024H1,Onesavings Bank PLC,2397.0,0,0.14
2024H1,Paragon Bank PLC,1039.0,0,0.06
