reporting_period,product_group,total_complaints,complaint_share_pct
2024H1,Banking and credit cards,841994.0,47.46
2024H1,Decumulation & pensions,85269.0,4.81
2024H1,Home finance,83750.0,4.72
2024H1,Insurance & pure protection,714244.0,40.26
2024H1,Investments,48882.0,2.76
2024H2,Banking and credit cards,829764.0,49.04
2024H2,Decumulation & pensions,81104.0,4.79
2024H2,Home finance,74499.0,4.4
2024H2,Insurance & pure protection,668309.0,39.5
2024H2,Investments,38390.0,2.27
2025H1,Banking and credit cards,888574.0,51.06
2025H1,Decumulation & pensions,85424.0,4.91
2025H1,Home finance,69356.0,3.99
2025H1,Insurance & pure protection,653535.0,37.55
2025H1,Investments,43333.0,2.49
2025H2,Banking and credit cards,844807.0,51.12
2025H2,Decumulation & pensions,80272.0,4.86
2025H2,Home finance,66543.0,4.03
2025H2,Insurance & pure protection,620885.0,37.57
2025H2,Investments,39931.0,2.42
