firm_name,total_complaints_all_periods,complaints_2025H2,complaints_2025H1,complaints_2024H2,complaints_2024H1
Barclays Bank UK PLC,388974.0,85996.0,154273.0,68750.0,79955.0
HSBC UK Bank PLC,380491.0,81503.0,91389.0,98421.0,109178.0
Lloyds Bank PLC,321949.0,90837.0,81403.0,76760.0,72949.0
Bank Of Scotland PLC,309983.0,79508.0,77714.0,74404.0,78357.0
National Westminster Bank Public Limited Company,280092.0,97511.0,94120.0,88461.0,0.0
Eui Limited,270684.0,60221.0,70326.0,73418.0,66719.0
Nationwide Building Society,260315.0,69388.0,65786.0,63363.0,61778.0
Santander UK PLC,259589.0,64741.0,62386.0,64646.0,67816.0
British Gas Services Limited,213831.0,49016.0,51725.0,57808.0,55282.0
Domestic & General Insurance PLC,209860.0,56025.0,60444.0,44570.0,48821.0
Aviva Insurance Limited,196482.0,49795.0,48979.0,49190.0,48518.0
U K Insurance Limited,185358.0,37282.0,42802.0,51800.0,53474.0
Monzo Bank LTD,177503.0,49570.0,35092.0,50752.0,42089.0
Clydesdale Bank PLC,137691.0,34185.0,31691.0,37438.0,34377.0
Bupa Insurance Services Limited,123987.0,28091.0,31133.0,31626.0,33137.0
TSB Bank PLC,121044.0,33705.0,29722.0,31883.0,25734.0
Axa Ppp Healthcare Limited,107577.0,19555.0,21855.0,24510.0,41657.0
Capital One (europe) PLC,103932.0,30593.0,24855.0,23665.0,24819.0
Vanquis Bank Limited,101116.0,18304.0,22086.0,26951.0,33775.0
Aviva Life Services UK Limited,99470.0,26131.0,25086.0,23862.0,24391.0
National Westminster Bank PLC,87800.0,0.0,0.0,0.0,87800.0
Axa Insurance UK PLC,81868.0,16052.0,16910.0,20381.0,28525.0
Starling Bank Limited,80813.0,17323.0,20833.0,22175.0,20482.0
The Royal Bank Of Scotland PLC,79794.0,19884.0,20019.0,19605.0,20286.0
Hastings Insurance Services Limited,72119.0,19781.0,18123.0,15998.0,18217.0
Esure Insurance Limited,62213.0,11352.0,14395.0,16080.0,20386.0
Phoenix Life Limited,61265.0,17086.0,16175.0,14030.0,13974.0
Bisl Limited,48881.0,11577.0,12473.0,13571.0,11260.0
Saga Services Limited,47580.0,7519.0,8353.0,15359.0,16349.0
Scottish Widows Limited,44328.0,7762.0,10846.0,12986.0,12734.0
J.p. Morgan Europe Limited,43460.0,8343.0,10803.0,12193.0,12121.0
Liverpool Victoria Insurance Company Limited,42341.0,12025.0,10359.0,9279.0,10678.0
Barclays Bank PLC,41696.0,10416.0,10982.0,9458.0,10840.0
The Prudential Assurance Company Limited,40828.0,9892.0,9474.0,11295.0,10167.0
Atlanta Insurance Intermediaries Limited,40024.0,8517.0,9569.0,9798.0,12140.0
American Express Services Europe Limited,39440.0,14814.0,13353.0,11273.0,0.0
The Co-operative Bank PLC,39392.0,0.0,10542.0,12698.0,16152.0
Metro Bank PLC,39080.0,11244.0,9674.0,8916.0,9246.0
Vitality Corporate Services Limited,38207.0,10197.0,10069.0,8702.0,9239.0
MBNA Limited,38062.0,8796.0,9495.0,9081.0,10690.0
First Central Insurance Management Limited,36754.0,8797.0,8149.0,9224.0,10584.0
Inter Partner Assistance Sa,33934.0,8125.0,8212.0,9669.0,7928.0
Automobile Association Insurance Services Limited,32753.0,6657.0,6366.0,8063.0,11667.0
St. James's Place Wealth Management PLC,30197.0,3725.0,5511.0,5586.0,15375.0
Tesco Personal Finance Limited,28669.0,4861.0,4180.0,19628.0,0.0
Royal & Sun Alliance Insurance Limited,27108.0,0.0,0.0,11992.0,15116.0
Assurant General Insurance Limited,25707.0,6731.0,5778.0,6996.0,6202.0
Scottish Equitable PLC,25171.0,5420.0,7901.0,6951.0,4899.0
Marks & Spencer Financial Services PLC,25014.0,0.0,7197.0,8338.0,9479.0
Hargreaves Lansdown Asset Management Limited,24710.0,7021.0,6639.0,5703.0,5347.0
The Royal London Mutual Insurance Society Limited,23768.0,0.0,8437.0,6869.0,8462.0
Lloyds Bank General Insurance Limited,23504.0,5683.0,5782.0,5611.0,6428.0
The National Farmers' Union Mutual Insurance Society Limited,23172.0,5076.0,5412.0,5910.0,6774.0
Creation Consumer Finance LTD,21840.0,0.0,9886.0,5621.0,6333.0
Society Of Lloyd's,20815.0,5669.0,4972.0,4865.0,5309.0
Ageas Insurance Limited,20624.0,4403.0,5090.0,5058.0,6073.0
Reassure Limited,19023.0,4463.0,4747.0,4807.0,5006.0
Accredited Insurance (europe) LTD,18814.0,4337.0,4649.0,4219.0,5609.0
Rac Motoring Services,18411.0,0.0,0.0,9193.0,9218.0
Manypets LTD,18410.0,3134.0,3709.0,4914.0,6653.0
Rac Financial Services Limited,18284.0,9491.0,8793.0,0.0,0.0
Tesco Personal Finance PLC,17949.0,0.0,0.0,0.0,17949.0
Legal And General Assurance Society Limited,17790.0,4414.0,4437.0,4123.0,4816.0
Marshmallow Financial Services LTD,17669.0,4208.0,5700.0,4843.0,2918.0
Zopa Bank Limited,17406.0,6391.0,4637.0,3286.0,3092.0
Chubb European Group Se,17326.0,4417.0,4134.0,4200.0,4575.0
People's Administration Services Limited,17136.0,2731.0,6548.0,3611.0,4246.0
Skipton Building Society,16925.0,4641.0,5026.0,3579.0,3679.0
Home Retail Group Card Services Limited,16604.0,3824.0,4438.0,3944.0,4398.0
Coventry Building Society,16544.0,4145.0,4466.0,3969.0,3964.0
Fortegra Europe Insurance Company LTD,15394.0,3792.0,3743.0,3858.0,4001.0
Intact Insurance UK Limited,14459.0,5765.0,8694.0,0.0,0.0
Zurich Assurance LTD,14309.0,2896.0,3550.0,3698.0,4165.0
Qmetric Group Limited,14210.0,3696.0,4122.0,3112.0,3280.0
Clearbank Limited,14079.0,3339.0,3961.0,3540.0,3239.0
Sainsbury's Bank PLC,13667.0,1602.0,3668.0,4013.0,4384.0
Ergo Travel Insurance Services LTD,13194.0,4524.0,2738.0,3011.0,2921.0
Bank Of Ireland (uk) PLC,13112.0,2643.0,3213.0,3367.0,3889.0
Zurich Insurance Company LTD,12822.0,3407.0,2848.0,3112.0,3455.0
Telefonica Seguros Y Reaseguros Compania Aseguradora S.a.u.,12821.0,2771.0,3103.0,3845.0,3102.0
Leeds Building Society,12693.0,2645.0,3417.0,3326.0,3305.0
One Call Insurance Services Limited,12393.0,2980.0,3098.0,3113.0,3202.0
Allianz Insurance PLC,12008.0,2908.0,2758.0,2947.0,3395.0
Tradex Insurance Company PLC,11488.0,3950.0,3465.0,2485.0,1588.0
Awp Assistance UK LTD,11264.0,3144.0,2911.0,2716.0,2493.0
Yorkshire Building Society,10888.0,2374.0,2869.0,2386.0,3259.0
Homeserve Membership Limited,10682.0,2358.0,2971.0,2489.0,2864.0
Equiniti Financial Services Limited,10588.0,2875.0,2359.0,2099.0,3255.0
Creation Consumer Finance Limited,10537.0,10537.0,0.0,0.0,0.0
Topaz Finance Limited,10503.0,3173.0,2301.0,2336.0,2693.0
Onesavings Bank PLC,10403.0,2292.0,2737.0,2977.0,2397.0
Tesco Underwriting Limited,10377.0,2672.0,2550.0,2415.0,2740.0
Animal Friends Insurance Services LTD,10171.0,0.0,3055.0,3228.0,3888.0
Munich Re Digital Partners Limited,10151.0,5012.0,3850.0,1289.0,0.0
Interactive Investor Services Limited,9944.0,2756.0,2505.0,2093.0,2590.0
Howserv Limited,9923.0,3281.0,2358.0,2239.0,2045.0
Covea Insurance PLC,9758.0,2497.0,2528.0,2490.0,2243.0
The Co-operative Bank P.l.c.,9622.0,9622.0,0.0,0.0,0.0
