firm_name,reporting_period,product_group,complaints_opened,total_denominator_k,complaint_rate_per_1k,rate_rank
Barclays Bank UK PLC,2025H2,Banking and credit cards,80470.0,2.01,40034.8259,1
Lloyds Bank PLC,2025H2,Banking and credit cards,87894.0,2.37,37086.0759,2
Bank Of Scotland PLC,2025H2,Banking and credit cards,67071.0,1.91,35115.7068,3
Nationwide Building Society,2025H2,Banking and credit cards,63947.0,1.94,32962.3711,4
National Westminster Bank Public Limited Company,2025H2,Banking and credit cards,90819.0,2.9,31316.8966,5
HSBC UK Bank PLC,2025H2,Banking and credit cards,75064.0,2.57,29207.7821,6
Santander UK PLC,2025H2,Banking and credit cards,60432.0,2.45,24666.1224,7
Monzo Bank LTD,2025H2,Banking and credit cards,49247.0,2.07,23790.8213,8
Aviva Insurance Limited,2025H2,Insurance & pure protection,49795.0,2.72,18306.9853,9
Eui Limited,2025H2,Insurance & pure protection,60221.0,3.47,17354.755,10
Rac Financial Services Limited,2025H2,Insurance & pure protection,9491.0,0.77,12325.974,11
Domestic & General Insurance PLC,2025H2,Insurance & pure protection,56025.0,4.57,12259.2998,12
Arag Legal Expenses Insurance Company Limited,2025H2,Insurance & pure protection,2976.0,0.31,9600.0,13
TSB Bank PLC,2025H2,Banking and credit cards,32154.0,3.48,9239.6552,14
Society Of Lloyd's,2025H2,Insurance & pure protection,5669.0,0.65,8721.5385,15
J.p. Morgan Europe Limited,2025H2,Banking and credit cards,8343.0,0.97,8601.0309,16
Clydesdale Bank PLC,2025H2,Banking and credit cards,31993.0,3.77,8486.2069,17
Aviva Life Services UK Limited,2025H2,Decumulation & pensions,17892.0,2.11,8479.6209,18
HSBC UK Bank PLC,2025H2,Insurance & pure protection,417.0,0.05,8340.0,19
U K Insurance Limited,2025H2,Insurance & pure protection,37282.0,4.54,8211.8943,20
People's Administration Services Limited,2025H2,Decumulation & pensions,2731.0,0.36,7586.1111,21
Extracover Limited,2025H2,Insurance & pure protection,1114.0,0.16,6962.5,22
The Royal Bank Of Scotland PLC,2025H2,Banking and credit cards,18544.0,2.83,6552.6502,23
Equiniti Financial Services Limited,2025H2,Investments,2864.0,0.48,5966.6667,24
Phoenix Life Limited,2025H2,Decumulation & pensions,12980.0,2.18,5954.1284,25
Capital One (europe) PLC,2025H2,Banking and credit cards,30573.0,5.34,5725.2809,26
Assurant General Insurance Limited,2025H2,Insurance & pure protection,6731.0,1.18,5704.2373,27
Inter Partner Assistance Sa,2025H2,Insurance & pure protection,8125.0,1.45,5603.4483,28
Astrenska Insurance Limited,2025H2,Insurance & pure protection,2862.0,0.52,5503.8462,29
Amtrust Specialty Limited,2025H2,Insurance & pure protection,1976.0,0.36,5488.8889,30
British Gas Services Limited,2025H2,Insurance & pure protection,49016.0,9.18,5339.4336,31
Scottish Widows Limited,2025H2,Decumulation & pensions,5592.0,1.06,5275.4717,32
Allianz Insurance PLC,2025H2,Insurance & pure protection,2908.0,0.56,5192.8571,33
Awp Assistance UK LTD,2025H2,Insurance & pure protection,3144.0,0.63,4990.4762,34
Awp P&c S.a.,2025H2,Insurance & pure protection,2042.0,0.41,4980.4878,35
Starling Bank Limited,2025H2,Banking and credit cards,17323.0,3.62,4785.3591,36
American International Group UK Limited,2025H2,Insurance & pure protection,955.0,0.2,4775.0,37
Legal And General Assurance Society Limited,2025H2,Insurance & pure protection,2895.0,0.66,4386.3636,38
Esure Insurance Limited,2025H2,Insurance & pure protection,11352.0,2.62,4332.8244,39
Ageas Insurance Limited,2025H2,Insurance & pure protection,4403.0,1.03,4274.7573,40
Liverpool Victoria Insurance Company Limited,2025H2,Insurance & pure protection,12025.0,2.87,4189.8955,41
Zurich Insurance Company LTD,2025H2,Insurance & pure protection,3407.0,0.88,3871.5909,42
Aviva Life Services UK Limited,2025H2,Insurance & pure protection,4523.0,1.22,3707.377,43
"Royal London Mutual Insurance Society, Limited (the)",2025H2,Decumulation & pensions,5817.0,1.57,3705.0955,44
"Royal London Mutual Insurance Society, Limited (the)",2025H2,Insurance & pure protection,2362.0,0.65,3633.8462,45
Hargreaves Lansdown Asset Management Limited,2025H2,Investments,4759.0,1.33,3578.1955,46
American Express Services Europe Limited,2025H2,Insurance & pure protection,106.0,0.03,3533.3333,47
Yorkshire Building Society,2025H2,Banking and credit cards,1832.0,0.52,3523.0769,48
The Co-operative Bank P.l.c.,2025H2,Banking and credit cards,8554.0,2.48,3449.1935,49
Fortegra Europe Insurance Company LTD,2025H2,Insurance & pure protection,3792.0,1.1,3447.2727,50
