firm_name,reporting_period,avg_pct_closed_3days,avg_pct_closed_3to8weeks,avg_pct_within_8weeks,complaints_opened,fast_closure_rank
Adrian Flux Insurance Services Group,2025H2,94.0,5.84,99.84,2518.0,1
Exeter Friendly Society Limited,2025H2,86.29,13.52,99.81,1050.0,2
One Sure Insurance Limited,2025H2,86.14,13.86,100.0,770.0,3
Axa Insurance Designated Activity Company,2025H2,84.47,12.16,96.63,1817.0,4
Homeserve Membership Limited,2025H2,80.97,18.47,99.44,2358.0,5
Avantia Insurance Limited,2025H2,79.71,20.2,99.91,1100.0,6
Utility Warehouse Limited,2025H2,79.51,6.99,86.5,2188.0,7
Newcastle Building Society,2025H2,76.32,23.68,100.0,713.0,8
Atlanta Insurance Intermediaries Limited,2025H2,76.27,23.51,99.78,8517.0,9
Marks And Spencer Financial Services PLC,2025H2,75.45,24.48,99.93,5264.0,10
Carole Nash Insurance Consultants Limited,2025H2,74.97,24.99,99.96,2650.0,11
Domestic & General Insurance PLC,2025H2,74.95,23.92,98.87,56025.0,12
Saga Services Limited,2025H2,74.13,24.89,99.02,7519.0,13
Somerset Bridge Insurance Services Limited,2025H2,69.43,30.57,100.0,1472.0,14
British Gas Services Limited,2025H2,68.79,27.5,96.29,49016.0,15
Pinnacle Insurance Limited,2025H2,68.1,31.87,99.97,3405.0,16
Bisl Limited,2025H2,68.0,31.37,99.37,11577.0,17
One Call Insurance Services Limited,2025H2,67.57,32.3,99.87,2980.0,18
Principality Building Society,2025H2,66.62,32.82,99.44,1059.0,19
Munich Re Digital Partners Limited,2025H2,65.28,31.38,96.66,5012.0,20
Assurant General Insurance Limited,2025H2,65.0,34.08,99.08,6731.0,21
Reassured Limited,2025H2,64.8,34.38,99.18,604.0,22
TSB Bank PLC,2025H2,63.23,36.28,99.51,33705.0,23
Vodafone Limited,2025H2,61.26,38.74,100.0,252.0,24
Rac Financial Services Limited,2025H2,60.8,38.94,99.74,9491.0,25
Etoro (uk) Limited,2025H2,58.56,39.49,98.05,504.0,26
Bupa Insurance Services Limited,2025H2,58.12,41.62,99.74,28091.0,27
Automobile Association Insurance Services Limited,2025H2,56.81,37.91,94.72,6657.0,28
Leeds Building Society,2025H2,56.6,43.19,99.79,2645.0,29
First Central Insurance Management Limited,2025H2,55.5,42.31,97.81,8797.0,30
Close Brothers Limited,2025H2,55.36,44.25,99.61,382.0,31
I Go 4 Ltd.,2025H2,54.12,45.56,99.68,958.0,32
Barclays Bank UK PLC,2025H2,53.21,40.72,93.93,85996.0,33
Halifax Share Dealing Limited,2025H2,53.04,42.38,95.42,541.0,34
Liverpool Victoria Financial Services Limited,2025H2,52.35,45.49,97.84,1828.0,35
Sabre Insurance Company Limited,2025H2,51.98,48.02,100.0,644.0,36
Insurance Factory Limited,2025H2,51.55,48.3,99.85,1266.0,37
Axa Ppp Healthcare Limited,2025H2,50.99,47.49,98.48,19555.0,38
Fce Bank PLC,2025H2,49.7,50.3,100.0,154.0,39
Aviva Health UK Limited,2025H2,49.37,47.49,96.86,1236.0,40
Car Care Plan Limited,2025H2,49.27,50.73,100.0,876.0,41
Ageas Retail Limited,2025H2,48.87,50.79,99.66,909.0,42
RBS Collective Investment Funds Limited,2025H2,48.81,49.16,97.97,1342.0,43
Telefonica UK Limited,2025H2,48.78,49.48,98.26,314.0,44
