firm_name,reporting_period,complaints_opened,uphold_rate_weighted_pct,uphold_rank
Ebs Pensions Limited,2025H2,1176.0,93.17,1
British Gas Services Limited,2025H2,49016.0,93.07,2
Embark Services Limited,2025H2,730.0,91.67,3
Caf Bank Limited,2025H2,1060.0,90.18,4
Wesleyan Assurance Society,2025H2,744.0,90.13,5
Reassure Life Limited,2025H2,663.0,86.48,6
Hbos Investment Fund Managers Limited,2025H2,673.0,86.19,7
The Prudential Assurance Company Limited,2025H2,9892.0,85.81,8
Admiral Financial Services Limited,2025H2,16.0,85.71,9
Scottish Widows Limited,2025H2,7762.0,83.32,10
Octopus Money Unit Trust Managers Limited,2025H2,622.0,83.29,11
Telefonica UK Limited,2025H2,314.0,81.88,12
Cynergy Bank PLC,2025H2,701.0,79.99,13
Awp Assistance UK LTD,2025H2,3144.0,79.7,14
Reassure Limited,2025H2,4463.0,79.64,15
Lloyds Bank General Insurance Limited,2025H2,5683.0,78.24,16
Phoenix Life Limited,2025H2,17086.0,77.66,17
Leaseplan UK Limited,2025H2,23.0,76.19,18
Ovo Home Services LTD,2025H2,1953.0,75.59,19
Inter Partner Assistance Sa,2025H2,8125.0,74.1,20
Yorkshire Building Society,2025H2,2373.0,73.71,21
Skipton Building Society,2025H2,4641.0,72.85,22
Embark Investment Services Limited,2025H2,759.0,72.66,23
Manypets LTD,2025H2,3134.0,71.98,24
Aldermore Bank PLC,2025H2,1445.0,70.71,25
Esure Insurance Limited,2025H2,11352.0,70.24,26
Canada Life Limited,2025H2,546.0,69.42,27
Scottish Friendly Assurance Society Limited,2025H2,985.0,69.09,28
Quilter Investment Platform Limited,2025H2,516.0,69.08,29
Lloyds Bank PLC,2025H2,90837.0,68.45,30
Marks And Spencer Financial Services PLC,2025H2,5264.0,68.39,31
James Hay Administration Company Limited,2025H2,764.0,68.31,32
Quilter Life & Pensions Limited,2025H2,1076.0,68.22,33
Bank Of Scotland PLC,2025H2,79508.0,68.06,34
Leeds Building Society,2025H2,2645.0,67.79,35
U K Insurance Limited,2025H2,37282.0,67.44,36
Aviva Life Services UK Limited,2025H2,26131.0,66.91,37
West Bay Insurance PLC,2025H2,507.0,66.73,38
Scottish Equitable PLC,2025H2,5420.0,66.26,39
Liverpool Victoria Financial Services Limited,2025H2,1828.0,66.12,40
Advisory Insurance Brokers Limited,2025H2,651.0,65.42,41
The Co-operative Bank P.l.c.,2025H2,9622.0,64.8,42
Chubb European Group Se,2025H2,4417.0,64.27,43
Clydesdale Bank PLC,2025H2,34185.0,64.1,44
Accord Mortgages Limited,2025H2,950.0,63.92,45
Eui Limited,2025H2,60221.0,63.86,46
London & Country Mortgages Limited,2025H2,644.0,63.73,47
Ubs Ag,2025H2,548.0,63.02,48
"Royal London Mutual Insurance Society, Limited (the)",2025H2,8414.0,62.99,49
St. James's Place UK PLC,2025H2,840.0,62.68,50
Ergo Travel Insurance Services LTD,2025H2,4524.0,62.39,51
The National Farmers' Union Mutual Insurance Society Limited,2025H2,5076.0,62.36,52
Tradex Insurance Company PLC,2025H2,3950.0,62.28,53
Arthur J. Gallagher Insurance Brokers Limited,2025H2,977.0,61.95,54
Coventry Building Society,2025H2,4145.0,61.1,55
Barclays Bank PLC,2025H2,10416.0,60.91,56
J.p. Morgan Personal Investing Limited,2025H2,1126.0,60.66,57
Barclays Bank UK PLC,2025H2,85996.0,60.65,58
Onesavings Bank PLC,2025H2,2292.0,60.09,59
Zurich Insurance Company LTD,2025H2,3407.0,59.79,60
Phoenix Life Ca Limited,2025H2,892.0,59.57,61
Axa Insurance UK PLC,2025H2,16052.0,58.71,62
Shawbrook Bank Limited,2025H2,1280.0,58.61,63
The Royal Bank Of Scotland PLC,2025H2,19884.0,58.55,64
HSBC UK Bank PLC,2025H2,81503.0,58.48,65
Acm Ulr Limited,2025H2,636.0,58.45,66
Telefonica Seguros Y Reaseguros Compania Aseguradora S.a.u.,2025H2,2771.0,57.37,67
Allianz Insurance PLC,2025H2,2908.0,57.25,68
National Westminster Bank Public Limited Company,2025H2,97511.0,57.22,69
Bupa Insurance Services Limited,2025H2,28091.0,57.13,70
Clearbank Limited,2025H2,3339.0,57.11,71
Metlife Europe D.a.c.,2025H2,1126.0,56.95,72
Axa Insurance Designated Activity Company,2025H2,1817.0,56.84,73
Marshmallow Financial Services LTD,2025H2,4208.0,56.77,74
Intact Insurance UK Limited,2025H2,5765.0,56.46,75
Animal Friends Insurance Services Limited,2025H2,3482.0,56.31,76
Aviva Insurance Limited,2025H2,49795.0,56.27,77
Fortegra Europe Insurance Company LTD,2025H2,3792.0,56.11,78
Astrenska Insurance Limited,2025H2,2862.0,56.1,79
Liverpool Victoria Insurance Company Limited,2025H2,12025.0,55.86,80
Fce Bank PLC,2025H2,154.0,55.62,81
Vodafone Limited,2025H2,252.0,54.94,82
Axa Ppp Healthcare Limited,2025H2,19555.0,54.6,83
"Vanguard Asset Management, Ltd.",2025H2,1644.0,54.41,84
Principality Building Society,2025H2,1059.0,54.4,85
Ageas Insurance Limited,2025H2,4403.0,54.16,86
MBNA Limited,2025H2,8796.0,53.93,87
Newcastle Building Society,2025H2,713.0,53.87,88
Funding Circle LTD,2025H2,13.0,53.85,89
Paragon Bank PLC,2025H2,1002.0,53.65,90
Aj Bell Management Limited,2025H2,1051.0,53.4,91
Arag Legal Expenses Insurance Company Limited,2025H2,2976.0,53.26,92
American International Group UK Limited,2025H2,955.0,53.18,93
Financial Administration Services Limited,2025H2,2028.0,53.13,94
The Mortgage Works (uk) PLC,2025H2,1481.0,52.5,95
Saga Services Limited,2025H2,7519.0,52.43,96
Nationwide Building Society,2025H2,69386.0,52.38,97
TSB Bank PLC,2025H2,33705.0,52.38,98
Cabot Credit Management Group Limited,2025H2,35.0,52.27,99
Domestic & General Insurance PLC,2025H2,56025.0,52.22,100
Hastings Insurance Services Limited,2025H2,19781.0,52.04,101
Legal And General Assurance Society Limited,2025H2,4414.0,51.66,102
UK Mortgage Lending LTD,2025H2,682.0,51.63,103
Cofunds Limited,2025H2,772.0,51.6,104
Antares Insurance Company Limited,2025H2,650.0,51.52,105
Ageas Retail Limited,2025H2,909.0,51.13,106
Metro Bank PLC,2025H2,11244.0,51.11,107
Elderbridge Limited,2025H2,758.0,51.09,108
Helvetia Global Solutions LTD,2025H2,965.0,51.09,108
Aj Bell Securities Limited,2025H2,1500.0,50.93,110
Vitality Corporate Services Limited,2025H2,10197.0,50.77,111
Millennium Insurance Company Limited,2025H2,542.0,50.45,112
Halifax Share Dealing Limited,2025H2,541.0,50.41,113
Amtrust Specialty Limited,2025H2,1976.0,50.25,114
People's Administration Services Limited,2025H2,2731.0,50.02,115
Tesco Underwriting Limited,2025H2,2672.0,49.89,116
Aviva Protection UK Limited,2025H2,760.0,49.86,117
Acromas Insurance Company Limited,2025H2,1840.0,49.75,118
Covea Insurance PLC,2025H2,2497.0,49.27,119
Sainsbury's Bank PLC,2025H2,1602.0,48.91,120
Interactive Investor Services Limited,2025H2,2756.0,48.49,121
M & G Securities Limited,2025H2,786.0,48.4,122
Hargreaves Lansdown Asset Management Limited,2025H2,7021.0,47.67,123
J.p. Morgan Europe Limited,2025H2,8343.0,47.54,124
Highway Insurance Company Limited,2025H2,611.0,47.31,125
Acorn Insurance And Financial Services Limited,2025H2,766.0,47.23,126
I Go 4 Ltd.,2025H2,958.0,46.83,127
Coutts & Company,2025H2,1845.0,46.8,128
Aioi Nissay Dowa Insurance UK Limited,2025H2,1554.0,46.76,129
Santander UK PLC,2025H2,64741.0,46.31,130
Fil Life Insurance Limited,2025H2,517.0,46.14,131
Assurant General Insurance Limited,2025H2,6731.0,46.07,132
Castelan Limited,2025H2,742.0,45.77,133
Bisl Limited,2025H2,11577.0,45.72,134
St. James's Place Wealth Management PLC,2025H2,3725.0,44.93,135
Zurich Assurance LTD,2025H2,2896.0,44.69,136
Charter Court Financial Services Limited,2025H2,1834.0,44.35,137
Starr International (europe) Limited,2025H2,1075.0,44.14,138
Carole Nash Insurance Consultants Limited,2025H2,2650.0,44.02,139
National House-building Council,2025H2,745.0,43.91,140
Howserv Limited,2025H2,3281.0,43.68,141
Atlanta Insurance Intermediaries Limited,2025H2,8517.0,43.65,142
Countrywide Assured PLC,2025H2,787.0,43.45,143
Zempler Bank Limited,2025H2,1519.0,42.98,144
