firm_name,reporting_period,product_group,complaints_opened,uphold_rate_pct,estimated_upheld_complaints,redress_risk_rank
Lloyds Bank PLC,2025H2,Banking and credit cards,87894.0,68.79,60462.0,1
National Westminster Bank Public Limited Company,2025H2,Banking and credit cards,90819.0,57.33,52067.0,2
Barclays Bank UK PLC,2025H2,Banking and credit cards,80470.0,59.77,48097.0,3
Bank Of Scotland PLC,2025H2,Banking and credit cards,67071.0,70.15,47050.0,4
British Gas Services Limited,2025H2,Insurance & pure protection,49016.0,93.07,45619.0,5
HSBC UK Bank PLC,2025H2,Banking and credit cards,75064.0,58.14,43642.0,6
Eui Limited,2025H2,Insurance & pure protection,60221.0,63.86,38457.0,7
Nationwide Building Society,2025H2,Banking and credit cards,63947.0,52.41,33515.0,8
Domestic & General Insurance PLC,2025H2,Insurance & pure protection,56025.0,52.22,29256.0,9
Aviva Insurance Limited,2025H2,Insurance & pure protection,49795.0,56.27,28020.0,10
Santander UK PLC,2025H2,Banking and credit cards,60432.0,45.1,27255.0,11
U K Insurance Limited,2025H2,Insurance & pure protection,37282.0,67.44,25143.0,12
Clydesdale Bank PLC,2025H2,Banking and credit cards,31993.0,64.06,20495.0,13
TSB Bank PLC,2025H2,Banking and credit cards,32154.0,52.34,16829.0,14
Bupa Insurance Services Limited,2025H2,Insurance & pure protection,28091.0,57.13,16048.0,15
Monzo Bank LTD,2025H2,Banking and credit cards,49247.0,29.94,14745.0,16
Aviva Life Services UK Limited,2025H2,Decumulation & pensions,17892.0,68.41,12240.0,17
The Royal Bank Of Scotland PLC,2025H2,Banking and credit cards,18544.0,59.09,10958.0,18
Axa Ppp Healthcare Limited,2025H2,Insurance & pure protection,19555.0,54.6,10677.0,19
Capital One (europe) PLC,2025H2,Banking and credit cards,30573.0,34.29,10483.0,20
Hastings Insurance Services Limited,2025H2,Insurance & pure protection,19781.0,52.04,10294.0,21
Phoenix Life Limited,2025H2,Decumulation & pensions,12980.0,78.61,10204.0,22
Axa Insurance UK PLC,2025H2,Insurance & pure protection,16052.0,58.71,9424.0,23
Esure Insurance Limited,2025H2,Insurance & pure protection,11352.0,70.24,7974.0,24
Starling Bank Limited,2025H2,Banking and credit cards,17323.0,40.99,7101.0,25
Bank Of Scotland PLC,2025H2,Home finance,12223.0,57.35,7010.0,26
Liverpool Victoria Insurance Company Limited,2025H2,Insurance & pure protection,12025.0,55.86,6717.0,27
Inter Partner Assistance Sa,2025H2,Insurance & pure protection,8125.0,74.1,6021.0,28
Metro Bank PLC,2025H2,Banking and credit cards,11111.0,50.82,5647.0,29
The Co-operative Bank P.l.c.,2025H2,Banking and credit cards,8554.0,65.7,5620.0,30
Barclays Bank PLC,2025H2,Banking and credit cards,9293.0,60.19,5593.0,31
The Prudential Assurance Company Limited,2025H2,Decumulation & pensions,6508.0,84.43,5495.0,32
Vanquis Bank Limited,2025H2,Banking and credit cards,18304.0,29.94,5480.0,33
Bisl Limited,2025H2,Insurance & pure protection,11577.0,45.72,5293.0,34
Vitality Corporate Services Limited,2025H2,Insurance & pure protection,10197.0,50.77,5177.0,35
American Express Services Europe Limited,2025H2,Banking and credit cards,14708.0,33.26,4892.0,36
Scottish Widows Limited,2025H2,Decumulation & pensions,5592.0,84.87,4746.0,37
MBNA Limited,2025H2,Banking and credit cards,8774.0,54.04,4741.0,38
Lloyds Bank General Insurance Limited,2025H2,Insurance & pure protection,5683.0,78.24,4446.0,39
Creation Consumer Finance Limited,2025H2,Banking and credit cards,10537.0,41.12,4333.0,40
Barclays Bank UK PLC,2025H2,Home finance,5356.0,75.02,4018.0,41
J.p. Morgan Europe Limited,2025H2,Banking and credit cards,8343.0,47.54,3966.0,42
Saga Services Limited,2025H2,Insurance & pure protection,7519.0,52.43,3942.0,43
"Royal London Mutual Insurance Society, Limited (the)",2025H2,Decumulation & pensions,5817.0,67.36,3918.0,44
First Central Insurance Management Limited,2025H2,Insurance & pure protection,8797.0,42.36,3726.0,45
Atlanta Insurance Intermediaries Limited,2025H2,Insurance & pure protection,8517.0,43.65,3718.0,46
Marks And Spencer Financial Services PLC,2025H2,Banking and credit cards,5169.0,68.42,3537.0,47
Scottish Equitable PLC,2025H2,Decumulation & pensions,5241.0,65.53,3434.0,48
National Westminster Bank Public Limited Company,2025H2,Home finance,6123.0,55.01,3368.0,49
Intact Insurance UK Limited,2025H2,Insurance & pure protection,5765.0,56.46,3255.0,50
