firm_name,vol_2024H1,vol_2024H2,vol_2025H1,vol_2025H2,pct_change_2025H2_vs_2025H1,pct_change_yoy
Close Brothers Limited,348.0,315.0,163.0,382.0,134.36,21.27
Shop Direct Finance Company Limited,418.0,367.0,394.0,87.0,-77.92,-76.29
Admiral Financial Services Limited,,,9.0,16.0,77.78,
Ergo Travel Insurance Services LTD,2921.0,3011.0,2738.0,4524.0,65.23,50.25
Adrian Flux Insurance Services Group,1271.0,1665.0,1554.0,2518.0,62.03,51.23
People's Administration Services Limited,4246.0,3611.0,6548.0,2731.0,-58.29,-24.37
Volkswagen Financial Services (uk) Limited,3.0,47.0,35.0,15.0,-57.14,-68.09
Sainsbury's Bank PLC,4384.0,4013.0,3668.0,1602.0,-56.32,-60.08
Insurance Factory Limited,,,2708.0,1266.0,-53.25,
Quilter Life & Pensions Limited,799.0,633.0,709.0,1076.0,51.76,69.98
Arag Legal Expenses Insurance Company Limited,,1930.0,2041.0,2976.0,45.81,54.2
Utility Warehouse Limited,609.0,2693.0,3996.0,2188.0,-45.25,-18.75
Barclays Bank UK PLC,79955.0,68750.0,154273.0,85996.0,-44.26,25.09
Embark Services Limited,,,515.0,730.0,41.75,
Monzo Bank LTD,42089.0,50752.0,35092.0,49570.0,41.26,-2.33
Astrenska Insurance Limited,1911.0,1854.0,2026.0,2862.0,41.26,54.37
Scottish Friendly Assurance Society Limited,1366.0,1120.0,1665.0,985.0,-40.84,-12.05
Quilter Financial Services Limited,,680.0,965.0,580.0,-39.9,-14.71
Metlife Europe D.a.c.,501.0,750.0,808.0,1126.0,39.36,50.13
Howserv Limited,2045.0,2239.0,2358.0,3281.0,39.14,46.54
Complete Cover Group LTD,900.0,963.0,905.0,560.0,-38.12,-41.85
Topaz Finance Limited,2693.0,2336.0,2301.0,3173.0,37.9,35.83
Zopa Bank Limited,3092.0,3286.0,4637.0,6391.0,37.83,94.49
Trading 212 UK Limited,,851.0,1624.0,2204.0,35.71,158.99
Castelan Limited,,541.0,552.0,742.0,34.42,37.15
RBS Collective Investment Funds Limited,1430.0,1465.0,2028.0,1342.0,-33.83,-8.4
Intact Insurance UK Limited,,,8694.0,5765.0,-33.69,
Cynergy Bank PLC,704.0,907.0,1049.0,701.0,-33.17,-22.71
"Vanguard Asset Management, Ltd.",,,2452.0,1644.0,-32.95,
West Bay Insurance PLC,,,751.0,507.0,-32.49,
St. James's Place Wealth Management PLC,15375.0,5586.0,5511.0,3725.0,-32.41,-33.32
Scottish Equitable PLC,4899.0,6951.0,7901.0,5420.0,-31.4,-22.03
Munich Re Digital Partners Limited,,1289.0,3850.0,5012.0,30.18,288.83
Millennium Insurance Company Limited,,,759.0,542.0,-28.59,
Scottish Widows Limited,12734.0,12986.0,10846.0,7762.0,-28.43,-40.23
Swift 1st Limited,912.0,843.0,867.0,636.0,-26.64,-24.56
Ikano Bank Ab (publ),1732.0,1357.0,1191.0,879.0,-26.2,-35.22
Marshmallow Financial Services LTD,2918.0,4843.0,5700.0,4208.0,-26.18,-13.11
Cabot Credit Management Group Limited,24.0,26.0,47.0,35.0,-25.53,34.62
Acromas Insurance Company Limited,,,2446.0,1840.0,-24.78,
Cofunds Limited,1071.0,992.0,1026.0,772.0,-24.76,-22.18
