firm_name,product_group,complaints_opened,pct_of_firm_total
Accredited Insurance (europe) LTD,Insurance & pure protection,4337.0,100.0
Acromas Insurance Company Limited,Insurance & pure protection,1840.0,100.0
Adrian Flux Insurance Services Group,Insurance & pure protection,2518.0,100.0
Ageas Insurance Limited,Insurance & pure protection,4403.0,100.0
Aioi Nissay Dowa Insurance UK Limited,Insurance & pure protection,1554.0,100.0
Aj Bell Management Limited,Decumulation & pensions,1051.0,100.0
Aj Bell Securities Limited,Investments,1140.0,76.0
Aj Bell Securities Limited,Decumulation & pensions,316.0,21.07
Aj Bell Securities Limited,Banking and credit cards,44.0,2.93
Aldermore Bank PLC,Banking and credit cards,754.0,52.18
Aldermore Bank PLC,Home finance,691.0,47.82
Allianz Insurance PLC,Insurance & pure protection,2908.0,100.0
American Express Services Europe Limited,Banking and credit cards,14708.0,99.28
American Express Services Europe Limited,Insurance & pure protection,106.0,0.72
Amtrust Specialty Limited,Insurance & pure protection,1976.0,100.0
Animal Friends Insurance Services Limited,Insurance & pure protection,3482.0,100.0
Arag Legal Expenses Insurance Company Limited,Insurance & pure protection,2976.0,100.0
Assurant General Insurance Limited,Insurance & pure protection,6731.0,100.0
Astrenska Insurance Limited,Insurance & pure protection,2862.0,100.0
Asurion Europe Limited,Insurance & pure protection,1566.0,100.0
Atlanta Insurance Intermediaries Limited,Insurance & pure protection,8517.0,100.0
Automobile Association Insurance Services Limited,Insurance & pure protection,6657.0,100.0
Avantia Insurance Limited,Insurance & pure protection,1100.0,100.0
Aviva Health UK Limited,Insurance & pure protection,1236.0,100.0
Aviva Insurance Limited,Insurance & pure protection,49795.0,100.0
Aviva Life Services UK Limited,Decumulation & pensions,17892.0,68.47
Aviva Life Services UK Limited,Insurance & pure protection,4523.0,17.31
Aviva Life Services UK Limited,Investments,2986.0,11.43
Aviva Life Services UK Limited,Home finance,730.0,2.79
Awp Assistance UK LTD,Insurance & pure protection,3144.0,100.0
Awp P&c S.a.,Insurance & pure protection,2042.0,100.0
Axa Insurance Designated Activity Company,Insurance & pure protection,1817.0,100.0
Axa Insurance UK PLC,Insurance & pure protection,16052.0,100.0
Axa Ppp Healthcare Limited,Insurance & pure protection,19555.0,100.0
Bank Of Ireland (uk) PLC,Banking and credit cards,1734.0,65.61
Bank Of Ireland (uk) PLC,Home finance,881.0,33.33
Bank Of Ireland (uk) PLC,Insurance & pure protection,26.0,0.98
Bank Of Ireland (uk) PLC,Investments,2.0,0.08
Bank Of Scotland PLC,Banking and credit cards,67071.0,84.36
Bank Of Scotland PLC,Home finance,12223.0,15.37
Bank Of Scotland PLC,Insurance & pure protection,171.0,0.22
Bank Of Scotland PLC,Investments,30.0,0.04
Bank Of Scotland PLC,Decumulation & pensions,13.0,0.02
Barclays Bank PLC,Banking and credit cards,9293.0,89.22
Barclays Bank PLC,Investments,1055.0,10.13
