firm_name,vol_prior,vol_curr,abs_change,pct_change
Monzo Bank LTD,35092.0,49570.0,14478.0,41.26
Lloyds Bank PLC,81403.0,90837.0,9434.0,11.59
Capital One (europe) PLC,24855.0,30593.0,5738.0,23.09
TSB Bank PLC,29722.0,33705.0,3983.0,13.4
Nationwide Building Society,65786.0,69388.0,3602.0,5.48
National Westminster Bank Public Limited Company,94120.0,97511.0,3391.0,3.6
Clydesdale Bank PLC,31691.0,34185.0,2494.0,7.87
Santander UK PLC,62386.0,64741.0,2355.0,3.77
Bank Of Scotland PLC,77714.0,79508.0,1794.0,2.31
Ergo Travel Insurance Services LTD,2738.0,4524.0,1786.0,65.23
Zopa Bank Limited,4637.0,6391.0,1754.0,37.83
Liverpool Victoria Insurance Company Limited,10359.0,12025.0,1666.0,16.08
Hastings Insurance Services Limited,18123.0,19781.0,1658.0,9.15
Metro Bank PLC,9674.0,11244.0,1570.0,16.23
American Express Services Europe Limited,13353.0,14814.0,1461.0,10.94
Munich Re Digital Partners Limited,3850.0,5012.0,1162.0,30.18
Aviva Life Services UK Limited,25086.0,26131.0,1045.0,4.17
Adrian Flux Insurance Services Group,1554.0,2518.0,964.0,62.03
Assurant General Insurance Limited,5778.0,6731.0,953.0,16.49
Arag Legal Expenses Insurance Company Limited,2041.0,2976.0,935.0,45.81
