firm_name,vol_prior,vol_curr,abs_improvement,pct_improvement
Barclays Bank UK PLC,154273.0,85996.0,68277.0,44.26
Eui Limited,70326.0,60221.0,10105.0,14.37
HSBC UK Bank PLC,91389.0,81503.0,9886.0,10.82
U K Insurance Limited,42802.0,37282.0,5520.0,12.9
Domestic & General Insurance PLC,60444.0,56025.0,4419.0,7.31
People's Administration Services Limited,6548.0,2731.0,3817.0,58.29
Vanquis Bank Limited,22086.0,18304.0,3782.0,17.12
Starling Bank Limited,20833.0,17323.0,3510.0,16.85
Scottish Widows Limited,10846.0,7762.0,3084.0,28.43
Esure Insurance Limited,14395.0,11352.0,3043.0,21.14
Bupa Insurance Services Limited,31133.0,28091.0,3042.0,9.77
Intact Insurance UK Limited,8694.0,5765.0,2929.0,33.69
British Gas Services Limited,51725.0,49016.0,2709.0,5.24
Scottish Equitable PLC,7901.0,5420.0,2481.0,31.4
J.p. Morgan Europe Limited,10803.0,8343.0,2460.0,22.77
Axa Ppp Healthcare Limited,21855.0,19555.0,2300.0,10.52
Sainsbury's Bank PLC,3668.0,1602.0,2066.0,56.32
Utility Warehouse Limited,3996.0,2188.0,1808.0,45.25
St. James's Place Wealth Management PLC,5511.0,3725.0,1786.0,32.41
Marshmallow Financial Services LTD,5700.0,4208.0,1492.0,26.18
