reporting_period,firm_name,firm_group,joint_reporting,product_group,complaints_opened,complaints_closed,pct_closed_3days,pct_closed_3to8weeks,uphold_rate,denominator,source_file
2024H1,AIB Group (uk) PLC,AIB GROUP PUBLIC LIMITED COMPANY,no,Banking and credit cards,537.0,552.0,0.3007,0.6975,0.5888,1.01,firm-level-complaints-data-2024-h1.xlsx
2024H1,AIB Group (uk) PLC,AIB GROUP PUBLIC LIMITED COMPANY,no,Home finance,27.0,28.0,0.3214,0.6786,0.5,,firm-level-complaints-data-2024-h1.xlsx
2024H1,AIB Group (uk) PLC,AIB GROUP PUBLIC LIMITED COMPANY,no,Insurance & pure protection,2.0,1.0,0.0,1.0,0.0,,firm-level-complaints-data-2024-h1.xlsx
2024H1,AIB Group (uk) PLC,AIB GROUP PUBLIC LIMITED COMPANY,no,Investments,2.0,1.0,0.0,1.0,0.0,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,Banking and credit cards,17.0,17.0,0.0588,0.8824,0.7059,2.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,Home finance,975.0,1022.0,0.2867,0.5744,0.6448,4.73,firm-level-complaints-data-2024-h1.xlsx
2024H1,Accredited Insurance (europe) LTD,NO GROUP,no,Insurance & pure protection,5609.0,5831.0,0.2307,0.5956,0.3687,2.44,firm-level-complaints-data-2024-h1.xlsx
2024H1,Acm Ulr Limited,MARKERSTUDY GROUP,no,Insurance & pure protection,1247.0,,0.1121,0.8713,0.472,15.13,firm-level-complaints-data-2024-h1.xlsx
2024H1,Acorn Insurance & Financial Services LTD,NO GROUP,no,Insurance & pure protection,633.0,686.0,0.1953,0.8032,0.5583,1.51,firm-level-complaints-data-2024-h1.xlsx
2024H1,Action 365 LTD,NO GROUP,no,Insurance & pure protection,997.0,1127.0,0.1109,0.638,0.3531,20.4,firm-level-complaints-data-2024-h1.xlsx
2024H1,Adrian Flux Insurance Services Group,NO GROUP,no,Insurance & pure protection,1271.0,1272.0,0.9552,0.0448,0.2225,1.44,firm-level-complaints-data-2024-h1.xlsx
2024H1,Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,Insurance & pure protection,758.0,744.0,0.3132,0.6331,0.6102,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,no,Insurance & pure protection,1121.0,,0.7666,0.2325,0.229,3.14,firm-level-complaints-data-2024-h1.xlsx
2024H1,Ageas Insurance Limited,AGEAS SA-NV,no,Insurance & pure protection,6073.0,6297.0,0.2662,0.6228,0.4661,1.31,firm-level-complaints-data-2024-h1.xlsx
2024H1,Ageas Retail Limited,AGEAS SA-NV,no,Insurance & pure protection,1096.0,1083.0,0.4561,0.5355,0.4792,1.39,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aig Life Limited,AVIVA PLC,no,Insurance & pure protection,633.0,,0.0988,0.6048,0.4274,0.49,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,Insurance & pure protection,2542.0,2465.0,0.1201,0.8483,0.4592,6.62,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aj Bell Management Limited,AJ BELL GROUP,yes,Decumulation & pensions,763.0,772.0,0.4417,0.5557,0.4741,3.4,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aj Bell Securities Limited,AJ BELL GROUP,no,Banking and credit cards,23.0,27.0,0.2593,0.7407,0.5926,7.26,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aj Bell Securities Limited,AJ BELL GROUP,no,Decumulation & pensions,132.0,130.0,0.2692,0.7308,0.5462,1.12,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aj Bell Securities Limited,AJ BELL GROUP,no,Investments,537.0,545.0,0.356,0.644,0.5009,1.1,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aldermore Bank PLC,FIRSTRAND LIMITED,no,Banking and credit cards,872.0,814.0,0.5528,0.4373,0.6609,2.07,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aldermore Bank PLC,FIRSTRAND LIMITED,no,Home finance,924.0,881.0,0.2599,0.7287,0.6243,20.5,firm-level-complaints-data-2024-h1.xlsx
2024H1,Allianz Insurance PLC,ALLIANZ SE,no,Insurance & pure protection,3395.0,3411.0,0.2911,0.6848,0.613,0.69,firm-level-complaints-data-2024-h1.xlsx
2024H1,American Express Services Europe Limited (aesel),AMERICAN EXPRESS,no,Banking and credit cards,8716.0,8564.0,0.1447,0.8542,0.3392,3.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,American Express Services Europe Limited (aesel),AMERICAN EXPRESS,no,Insurance & pure protection,71.0,69.0,0.058,0.9275,0.1739,0.03,firm-level-complaints-data-2024-h1.xlsx
2024H1,American International Group UK Limited,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",yes,Insurance & pure protection,3167.0,3147.0,0.2371,0.7582,0.5399,0.86,firm-level-complaints-data-2024-h1.xlsx
2024H1,Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,yes,Insurance & pure protection,2046.0,2243.0,0.1734,0.6625,0.4008,0.45,firm-level-complaints-data-2024-h1.xlsx
2024H1,Animal Friends Insurance Services LTD,NO GROUP,no,Insurance & pure protection,3888.0,3657.0,0.2316,0.7678,0.3147,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Arnold Clark Automobiles Limited,NO GROUP,no,Insurance & pure protection,21.0,22.0,0.4545,0.5455,0.0909,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,yes,Insurance & pure protection,1082.0,,0.2706,0.7083,0.5752,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Assurant General Insurance Limited,ASSURANT INC,no,Insurance & pure protection,6202.0,6733.0,0.3431,0.5696,0.4566,1.45,firm-level-complaints-data-2024-h1.xlsx
2024H1,Astrenska Insurance Limited,NO GROUP,no,Insurance & pure protection,1911.0,2387.0,0.0855,0.7834,0.5786,0.53,firm-level-complaints-data-2024-h1.xlsx
2024H1,Asurion Europe Limited,ASURION,no,Insurance & pure protection,1586.0,1741.0,0.251,0.7438,0.2211,2.4,firm-level-complaints-data-2024-h1.xlsx
2024H1,Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,no,Insurance & pure protection,12140.0,,0.6553,0.3349,0.4636,6.2,firm-level-complaints-data-2024-h1.xlsx
2024H1,Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,Insurance & pure protection,11667.0,12312.0,0.3409,0.6577,0.319,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Avantia Insurance Limited,NO GROUP,no,Insurance & pure protection,1764.0,1679.0,0.7147,0.2841,0.3645,5.87,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aviva Health UK Limited,AVIVA PLC,no,Insurance & pure protection,1606.0,,0.4328,0.4655,0.4873,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aviva Insurance Limited,AVIVA PLC,no,Insurance & pure protection,48518.0,49278.0,0.2904,0.646,0.613,3.04,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aviva Life Services UK Limited,AVIVA PLC,yes,Decumulation & pensions,16375.0,15918.0,0.3313,0.5298,0.6523,1.96,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aviva Life Services UK Limited,AVIVA PLC,yes,Home finance,1115.0,1065.0,0.3859,0.4751,0.3089,11.32,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aviva Life Services UK Limited,AVIVA PLC,yes,Insurance & pure protection,3869.0,3745.0,0.3837,0.5196,0.5151,1.05,firm-level-complaints-data-2024-h1.xlsx
2024H1,Aviva Life Services UK Limited,AVIVA PLC,yes,Investments,3032.0,3018.0,0.3565,0.4417,0.671,2.77,firm-level-complaints-data-2024-h1.xlsx
2024H1,Awp Assistance UK LTD,ALLIANZ SE,yes,Insurance & pure protection,2493.0,2282.0,0.1507,0.8344,0.833,0.39,firm-level-complaints-data-2024-h1.xlsx
2024H1,Awp P&c S.a.,ALLIANZ SE,no,Insurance & pure protection,1698.0,,0.1215,0.8681,0.4066,0.27,firm-level-complaints-data-2024-h1.xlsx
2024H1,Axa Insurance Designated Activity Company,AXA GROUP,no,Insurance & pure protection,2167.0,2172.0,0.8435,0.1275,0.5437,8.45,firm-level-complaints-data-2024-h1.xlsx
2024H1,Axa Insurance UK PLC,AXA GROUP,no,Insurance & pure protection,28525.0,30358.0,0.2662,0.5126,0.5931,9.45,firm-level-complaints-data-2024-h1.xlsx
2024H1,Axa Ppp Healthcare Limited,AXA GROUP,no,Insurance & pure protection,41657.0,41555.0,0.7817,0.2095,0.4799,36.75,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bank Of Ireland (uk) PLC,BANK OF IRELAND GROUP,yes,Banking and credit cards,3059.0,3100.0,0.4342,0.4835,0.4555,2.72,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bank Of Ireland (uk) PLC,BANK OF IRELAND GROUP,yes,Home finance,794.0,1155.0,0.1593,0.2918,0.3203,7.8,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bank Of Ireland (uk) PLC,BANK OF IRELAND GROUP,yes,Insurance & pure protection,35.0,32.0,,1.0,,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bank Of Ireland (uk) PLC,BANK OF IRELAND GROUP,yes,Investments,1.0,1.0,1.0,,,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bank Of Scotland PLC,LLOYDS BANKING GROUP PLC,no,Banking and credit cards,63896.0,64791.0,0.6118,0.3451,0.6449,1.8,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bank Of Scotland PLC,LLOYDS BANKING GROUP PLC,no,Decumulation & pensions,9.0,10.0,0.1,0.7,0.5,0.06,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bank Of Scotland PLC,LLOYDS BANKING GROUP PLC,no,Home finance,14104.0,14010.0,0.4274,0.5374,0.5214,6.59,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bank Of Scotland PLC,LLOYDS BANKING GROUP PLC,no,Insurance & pure protection,291.0,280.0,0.2464,0.7107,0.0929,0.4,firm-level-complaints-data-2024-h1.xlsx
2024H1,Bank Of Scotland PLC,LLOYDS BANKING GROUP PLC,no,Investments,57.0,53.0,0.0755,0.8302,0.2453,0.37,firm-level-complaints-data-2024-h1.xlsx
2024H1,Barclays Bank PLC,BARCLAYS PLC,yes,Banking and credit cards,9600.0,9568.0,0.7183,0.2594,0.6823,7.62,firm-level-complaints-data-2024-h1.xlsx
2024H1,Barclays Bank PLC,BARCLAYS PLC,yes,Decumulation & pensions,32.0,40.0,0.275,0.625,0.7,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Barclays Bank PLC,BARCLAYS PLC,yes,Home finance,2.0,2.0,,1.0,,,firm-level-complaints-data-2024-h1.xlsx
2024H1,Barclays Bank PLC,BARCLAYS PLC,yes,Investments,1206.0,1454.0,0.3088,0.478,0.6747,2.42,firm-level-complaints-data-2024-h1.xlsx
2024H1,Barclays Bank UK PLC,BARCLAYS PLC,yes,Banking and credit cards,71096.0,75713.0,0.605,0.3424,0.6635,1.94,firm-level-complaints-data-2024-h1.xlsx
2024H1,Barclays Bank UK PLC,BARCLAYS PLC,yes,Decumulation & pensions,11.0,16.0,0.25,0.25,0.4375,0.0,firm-level-complaints-data-2024-h1.xlsx
2024H1,Barclays Bank UK PLC,BARCLAYS PLC,yes,Home finance,8557.0,9099.0,0.4951,0.4313,0.6993,9.86,firm-level-complaints-data-2024-h1.xlsx
